state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
8,Colorado,1,Adams County,1985,0.54,0.0,0.54,0.06,0.0,0.06,0.6,0.0,0.6,1.34,1.94,0.71,0.00,0.71,0.00,-
8,Colorado,1,Adams County,1990,3.32,0.0,3.32,1.18,0.0,1.18,4.5,0.0,4.5,0.68,5.18,2.63,0.00,2.63,0.00,47
8,Colorado,1,Adams County,1995,3.52,0.0,3.52,1.26,0.0,1.26,4.78,0.0,4.78,0.64,5.42,2.66,0.00,2.66,0.00,67
8,Colorado,1,Adams County,2000,3.5,0.0,3.5,2.97,0.0,2.97,6.47,0.0,6.47,-,-,-,-,-,-,-
8,Colorado,1,Adams County,2005,0.71,0.0,0.71,1.73,0.0,1.73,2.44,0.0,2.44,-,-,-,-,-,-,-
8,Colorado,1,Adams County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,1,Adams County,2015,0.25,0.0,0.25,0.01,0.0,0.01,0.26,0.0,0.26,-,-,-,-,-,-,-
8,Colorado,3,Alamosa County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
8,Colorado,3,Alamosa County,1990,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.01,0.00,0.01,0.00,5
8,Colorado,3,Alamosa County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.01,0.00,0.01,0.00,5
8,Colorado,3,Alamosa County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,3,Alamosa County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,3,Alamosa County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,3,Alamosa County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,5,Arapahoe County,1985,0.14,0.0,0.14,0.0,0.0,0.0,0.14,0.0,0.14,1.60,1.74,0.52,0.00,0.52,0.00,-
8,Colorado,5,Arapahoe County,1990,2.21,0.0,2.21,1.01,0.0,1.01,3.22,0.0,3.22,2.18,5.40,1.97,0.00,1.97,0.00,24
8,Colorado,5,Arapahoe County,1995,3.01,0.0,3.01,1.35,0.0,1.35,4.36,0.0,4.36,1.53,5.89,2.16,0.00,2.16,0.00,42
8,Colorado,5,Arapahoe County,2000,1.67,0.0,1.67,3.48,0.0,3.48,5.15,0.0,5.15,-,-,-,-,-,-,-
8,Colorado,5,Arapahoe County,2005,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
8,Colorado,5,Arapahoe County,2010,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,-,-,-,-,-,-,-
8,Colorado,5,Arapahoe County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,7,Archuleta County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
8,Colorado,7,Archuleta County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
8,Colorado,7,Archuleta County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
8,Colorado,7,Archuleta County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,7,Archuleta County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,7,Archuleta County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,7,Archuleta County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,9,Baca County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
8,Colorado,9,Baca County,1990,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.01,0.03,0.01,0.00,0.01,0.00,3
8,Colorado,9,Baca County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,3
8,Colorado,9,Baca County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,9,Baca County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,9,Baca County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,9,Baca County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,11,Bent County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
8,Colorado,11,Bent County,1990,0.02,0.0,0.02,0.01,0.0,0.01,0.03,0.0,0.03,0.00,0.03,0.01,0.00,0.01,0.00,5
8,Colorado,11,Bent County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.00,0.01,0.00,0.00,0.00,0.00,3
8,Colorado,11,Bent County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,11,Bent County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,11,Bent County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,11,Bent County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,13,Boulder County,1985,0.32,0.0,0.32,0.0,0.0,0.0,0.32,0.0,0.32,2.54,2.86,0.86,0.00,0.86,0.00,-
8,Colorado,13,Boulder County,1990,1.51,0.0,1.51,0.96,0.0,0.96,2.47,0.0,2.47,2.61,5.08,2.12,0.00,2.12,0.00,48
8,Colorado,13,Boulder County,1995,2.62,0.0,2.62,1.44,0.0,1.44,4.06,0.0,4.06,2.50,6.56,2.64,0.00,2.64,0.00,82
8,Colorado,13,Boulder County,2000,1.14,0.0,1.14,1.24,0.0,1.24,2.38,0.0,2.38,-,-,-,-,-,-,-
8,Colorado,13,Boulder County,2005,0.0,0.0,0.0,0.41,0.0,0.41,0.41,0.0,0.41,-,-,-,-,-,-,-
8,Colorado,13,Boulder County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,13,Boulder County,2015,0.0,0.0,0.0,0.17,0.0,0.17,0.17,0.0,0.17,-,-,-,-,-,-,-
8,Colorado,14,Broomfield County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,14,Broomfield County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,14,Broomfield County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,15,Chaffee County,1985,0.3,0.0,0.3,0.3,0.0,0.3,0.6,0.0,0.6,0.00,0.60,0.18,0.00,0.18,0.00,-
8,Colorado,15,Chaffee County,1990,0.01,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.02,0.01,0.03,0.01,0.00,0.01,0.00,5
8,Colorado,15,Chaffee County,1995,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.01,0.00,0.01,0.00,6
8,Colorado,15,Chaffee County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,15,Chaffee County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,15,Chaffee County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,15,Chaffee County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,17,Cheyenne County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
8,Colorado,17,Cheyenne County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
8,Colorado,17,Cheyenne County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0
8,Colorado,17,Cheyenne County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,17,Cheyenne County,2005,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.0,0.02,-,-,-,-,-,-,-
8,Colorado,17,Cheyenne County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,17,Cheyenne County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,19,Clear Creek County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
8,Colorado,19,Clear Creek County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.00,0.01,0.00,0
8,Colorado,19,Clear Creek County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.04,0.01,0.00,0.01,0.00,1
8,Colorado,19,Clear Creek County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,19,Clear Creek County,2005,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.0,0.07,-,-,-,-,-,-,-
8,Colorado,19,Clear Creek County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,19,Clear Creek County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,21,Conejos County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
8,Colorado,21,Conejos County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.00,0.01,0.00,1
8,Colorado,21,Conejos County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.00,0.01,0.00,1
8,Colorado,21,Conejos County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,21,Conejos County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,21,Conejos County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,21,Conejos County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,23,Costilla County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
8,Colorado,23,Costilla County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,0
8,Colorado,23,Costilla County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.00,0.00,0.00,0.00,0
8,Colorado,23,Costilla County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,23,Costilla County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,23,Costilla County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,23,Costilla County,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,25,Crowley County,1985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,0.00,-
8,Colorado,25,Crowley County,1990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.13,0.05,0.00,0.05,0.00,0
8,Colorado,25,Crowley County,1995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.18,0.06,0.00,0.06,0.00,0
8,Colorado,25,Crowley County,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,25,Crowley County,2005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
8,Colorado,25,Crowley County,2010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,-,-,-,-,-
