state_cd,state_name,county_cd,county_nm,year,"Industrial self-supplied groundwater withdrawals, fresh, in Mgal/d","Industrial self-supplied groundwater withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, groundwater, in Mgal/d","Industrial self-supplied surface-water withdrawals, fresh, in Mgal/d","Industrial self-supplied surface-water withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, surface water, in Mgal/d","Industrial total self-supplied withdrawals, fresh, in Mgal/d","Industrial total self-supplied withdrawals, saline, in Mgal/d","Industrial total self-supplied withdrawals, in Mgal/d","Industrial deliveries from public supply, in Mgal/d","Industrial total self-supplied withdrawals plus deliveries, in Mgal/d","Industrial consumptive use, fresh, in Mgal/d","Industrial consumptive use, saline, in Mgal/d","Industrial total consumptive use, in Mgal/d","Industrial reclaimed wastewater, in Mgal/d",Industrial number of facilities
35,New Mexico,1,Bernalillo County,1985,0.11,0.00,0.11,0.00,0.00,0.00,0.11,0.00,0.11,2.41,2.52,1.30,0.00,1.30,0.00,-
35,New Mexico,1,Bernalillo County,1990,0.43,0.00,0.43,0.00,0.00,0.00,0.43,0.00,0.43,9.16,9.59,5.40,0.00,5.40,0.00,25
35,New Mexico,1,Bernalillo County,1995,0.70,0.00,0.70,0.00,0.00,0.00,0.70,0.00,0.70,9.98,10.68,5.27,0.00,5.27,0.00,19
35,New Mexico,1,Bernalillo County,2000,0.34,0.00,0.34,0.00,0.00,0.00,0.34,0.00,0.34,-,-,-,-,-,-,-
35,New Mexico,1,Bernalillo County,2005,1.01,0.00,1.01,0.00,0.00,0.00,1.01,0.00,1.01,-,-,-,-,-,0.00,-
35,New Mexico,1,Bernalillo County,2010,0.36,0.00,0.36,0.00,0.00,0.00,0.36,0.00,0.36,-,-,-,-,-,0.00,-
35,New Mexico,1,Bernalillo County,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,New Mexico,3,Catron County,1985,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,-
35,New Mexico,3,Catron County,1990,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,2
35,New Mexico,3,Catron County,1995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
35,New Mexico,3,Catron County,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-
35,New Mexico,3,Catron County,2005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,0.00,-
35,New Mexico,3,Catron County,2010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,0.00,-
35,New Mexico,3,Catron County,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,New Mexico,5,Chaves County,1985,0.02,0.00,0.02,0.00,0.00,0.00,0.02,0.00,0.02,0.00,0.02,0.02,0.00,0.02,0.00,-
35,New Mexico,5,Chaves County,1990,0.14,0.00,0.14,0.00,0.00,0.00,0.14,0.00,0.14,0.65,0.79,0.50,0.00,0.50,0.00,6
35,New Mexico,5,Chaves County,1995,0.57,0.00,0.57,0.00,0.00,0.00,0.57,0.00,0.57,0.75,1.32,1.08,0.00,1.08,0.00,8
35,New Mexico,5,Chaves County,2000,0.49,0.00,0.49,0.00,0.00,0.00,0.49,0.00,0.49,-,-,-,-,-,-,-
35,New Mexico,5,Chaves County,2005,0.57,0.00,0.57,0.00,0.00,0.00,0.57,0.00,0.57,-,-,-,-,-,0.00,-
35,New Mexico,5,Chaves County,2010,0.06,0.00,0.06,0.00,0.00,0.00,0.06,0.00,0.06,-,-,-,-,-,0.00,-
35,New Mexico,5,Chaves County,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,New Mexico,6,Cibola County,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
35,New Mexico,6,Cibola County,1990,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,4
35,New Mexico,6,Cibola County,1995,0.05,0.00,0.05,0.00,0.00,0.00,0.05,0.00,0.05,0.00,0.05,0.05,0.00,0.05,0.00,4
35,New Mexico,6,Cibola County,2000,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,-,-,-,-,-,-,-
35,New Mexico,6,Cibola County,2005,1.41,0.00,1.41,0.00,0.00,0.00,1.41,0.00,1.41,-,-,-,-,-,0.00,-
35,New Mexico,6,Cibola County,2010,0.01,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.01,-,-,-,-,-,0.00,-
35,New Mexico,6,Cibola County,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,New Mexico,7,Colfax County,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
35,New Mexico,7,Colfax County,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
35,New Mexico,7,Colfax County,1995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
35,New Mexico,7,Colfax County,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-
35,New Mexico,7,Colfax County,2005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,0.00,-
35,New Mexico,7,Colfax County,2010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,0.00,-
35,New Mexico,7,Colfax County,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,New Mexico,9,Curry County,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
35,New Mexico,9,Curry County,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
35,New Mexico,9,Curry County,1995,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
35,New Mexico,9,Curry County,2000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,-,-
35,New Mexico,9,Curry County,2005,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,0.00,-
35,New Mexico,9,Curry County,2010,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,-,-,-,-,0.00,-
35,New Mexico,9,Curry County,2015,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,New Mexico,11,De Baca County,1985,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-
35,New Mexico,11,De Baca County,1990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0
